Subject,block,obs,MMI,slope,IntersectionY,X_allocation,Y_allocation,RT,SV,ChoiceDifficulty,logMMI
130,2,38.0,0.003770806049307693,-1.5179823072423824,54.69751555040475,30.724,41.751999999999995,5.212106650969384,30.49923980376109,0.4889815790658598,-5.58046649419309
130,3,63.0,0.00257330654687264,-1.523940228614,57.73992371665634,36.46,39.284,5.005842553223603,31.766532902038485,0.3463415962955168,-5.9625636129141215
131,1,13.0,0.05505403082177576,-1.402596445870129,50.882217991141346,32.2,27.035999999999998,3.7461340278695956,13.140803871119985,0.09038832494707158,-2.899440197389972
131,2,38.0,0.02354816779201055,-1.4955960157016341,57.95729573955801,33.372,33.028,3.79078566999747,13.834892452341245,0.08140613424504846,-3.74870726231023
131,3,63.0,0.03392791034234649,-1.718892445136581,54.54981219323192,32.96,34.3,4.196534732548599,13.165064778450633,0.10556296447405118,-3.3835172893992125
132,1,13.0,0.17733859621790266,-1.581352489863043,46.90002434449465,28.3,22.02,4.191054114541732,12.033111549754716,0.13676369997181023,-1.7296944008284794
132,2,38.0,0.08140504781094844,-1.1910123312660565,57.07801851046348,37.816,32.164,4.87816015508734,14.386064502920396,0.09286563847814054,-2.508317995476819
132,3,63.0,0.08225688121263168,-1.8447200855792443,59.41128306897314,33.524,38.52,4.212887559867831,13.969925121620602,0.11143801865122986,-2.4979082306764835
133,1,13.0,0.013276405281479659,-1.6871734172843613,60.69359110888159,33.251999999999995,38.44,6.886381667720184,21.967516332125744,0.20959039122081663,-4.321766858211657
133,2,38.0,0.005660562975432461,-1.1097141236085286,43.10506884051872,46.424,27.664,6.206019716763958,22.156546916360114,0.3630157792158279,-5.174231926089313
133,3,63.0,0.0095558434987568,-1.8201973658154538,59.59066597453098,32.11600000000001,42.32,6.190818295814248,22.286009602414445,0.26997734946684465,-4.650602426928028
134,1,13.0,0.006132759033591934,-1.5199707163091412,55.261628602318,36.278260869565216,31.508695652173916,7.015715447397118,22.419148764468435,0.2538633105461361,-5.094110543246817
134,2,38.0,0.0015086482152064252,-1.516741268901136,55.91110371587846,39.56,37.104,5.825069354010035,24.520973025701696,0.26587698405618637,-6.496541250823176
134,3,63.0,0.003698172971988556,-1.5803729214980669,52.216593605734815,35.523999999999994,38.391999999999996,4.939399779153891,23.414253843056173,0.3503197730548543,-5.599916372641502
135,1,13.0,0.031856214459724606,-1.9018831473347602,53.303126298163946,24.745833333333334,27.412499999999998,6.648589960276277,35.63812009984384,0.030307001643772865,-3.4465227995218384
135,2,38.0,0.021585821087367597,-1.1978472021892674,55.94893267186191,25.851999999999997,26.308000000000003,6.208401824002917,35.772342111260485,0.02784010782361527,-3.83571861097766
135,3,63.0,0.031148279169797746,-1.5173545571843163,54.137266953905424,23.4,23.184,5.047539666871333,35.66593511370356,0.02870975759415348,-3.468996278619821
136,1,13.0,0.025141877619324057,-1.3525763524469168,52.35265563511976,31.766666666666666,30.520833333333332,7.8917084174285295,9.19343969772648,0.022966906142117716,-3.6832203920805324
136,2,38.0,0.016371236711953716,-1.8205589256495907,55.960693057792625,28.537499999999998,31.3875,7.344976442779747,9.162200813876305,0.027094615754584595,-4.112229342990612
136,3,63.0,0.020062300644474552,-1.4439496286118365,55.075977231018896,32.804,28.372,7.291871655687753,9.32188000952571,0.021923802100790066,-3.908912814865282
137,1,13.0,0.01786599425579231,-1.3519441485853059,56.9293694820869,36.766666666666666,32.954166666666666,7.003459474618093,19.413590754986334,0.13570202271810378,-4.0248561352187
137,2,38.0,0.009632689359573225,-1.9349950508383216,59.65794706922412,36.652,39.788000000000004,6.532020210618846,20.624978188066088,0.23455031958480851,-4.642592823253528
137,3,63.0,0.02454477443412006,-1.3301457072847165,46.80200937262026,38.86,30.4,6.556839715109726,18.83083827626777,0.28511553388860067,-3.7072563014055664
138,1,13.0,0.011977050986376784,-1.3234131488410994,56.948731589194004,33.6625,34.34166666666667,7.101807938546259,19.32192995472912,0.17874974945459945,-4.4247628780018005
138,2,38.0,0.007680769708253012,-1.4689413921342618,58.72416993698389,38.012,33.66,6.903795896657544,20.044387772464294,0.1428312040710318,-4.86903551441571
138,3,63.0,0.008757172626386195,-1.824730365732983,47.71642439775339,38.80833333333333,28.179166666666664,6.3523974350537555,18.199057476136083,0.22917709009527112,-4.737882185676864
139,1,13.0,0.0003324724806827208,-1.6428812908144417,57.0643155384628,23.575,47.10833333333333,6.250518356449324,33.3235081458625,0.5313062368584741,-8.008953466157564
139,2,38.0,0.00040256628419186756,-1.5651176316118258,55.09296956947691,43.14,31.288,4.662540623790644,35.059535298197936,0.45686373034197564,-7.8176507934420885
139,3,63.0,0.0001707534287428647,-1.4090859842820762,51.232040815991574,43.72,33.544000000000004,4.418114705948053,36.381961639379405,0.6688136208338511,-8.675289979229687
