,Feature,Beta,Node1,Node2
4708,RH_Vis_8__LH_DorsAttn_Post_6,0.0005379634267879702,58.0,21.0
4707,LH_Cont_PFCl_1__LH_SomMot_6,0.0005343742161901297,35.0,15.0
4706,RH_Cont_pCun_1__RH_Vis_4,0.0005308800989249071,89.0,54.0
4705,RH_Cont_PFCmp_1__LH_Default_Par_1,0.0005276073027962824,88.0,40.0
4704,RH_Default_Par_1__LH_SalVentAttn_Med_3,0.0005254721820075854,90.0,30.0
4703,RH_Cont_PFCl_3__LH_DorsAttn_FEF_1,0.0005197631890395592,85.0,23.0
4702,RH_SomMot_8__LH_SomMot_6,0.0005150095934385858,66.0,15.0
4701,RH_Cont_PFCl_3__RH_DorsAttn_Post_1,0.0005128751662276336,85.0,67.0
4700,LH_Default_pCunPCC_2__LH_DorsAttn_Post_5,0.0005112971360512393,50.0,20.0
4699,LH_Default_Temp_2__LH_Vis_5,0.0005092472905036239,39.0,5.0
4698,RH_Default_Temp_3__LH_Vis_4,0.0005089993925683142,93.0,4.0
4697,RH_Limbic_TempPole_1__LH_Cont_Cing_1,0.0005080581227200325,80.0,37.0
4696,RH_Default_pCunPCC_2__LH_Cont_pCun_1,0.0005076442550410568,100.0,36.0
4695,RH_DorsAttn_FEF_1__LH_Default_pCunPCC_1,0.0005068258789596459,73.0,49.0
4694,RH_Cont_PFCl_1__LH_SalVentAttn_Med_3,0.0005067961847940782,83.0,30.0
4693,RH_SomMot_7__LH_Vis_4,0.0005049487956272237,65.0,4.0
4692,RH_Vis_3__LH_SomMot_3,0.0005031100142909709,53.0,12.0
4691,RH_Cont_PFCl_1__LH_Vis_4,0.0005021587350708973,83.0,4.0
4690,LH_Cont_Cing_1__LH_Vis_4,0.0005013326033191661,37.0,4.0
4689,RH_Cont_Cing_1__LH_Default_PFC_3,0.0004989802866379064,87.0,44.0
4688,RH_Default_Temp_1__RH_SomMot_5,0.0004981818368265465,91.0,63.0
4687,LH_Cont_Cing_1__LH_DorsAttn_FEF_1,0.0004980275036457833,37.0,23.0
4686,RH_Default_PFCdPFCm_3__LH_Vis_8,0.0004950011383161153,98.0,8.0
4685,LH_DorsAttn_Post_6__LH_Vis_6,0.000492935446512608,21.0,6.0
4684,LH_Default_Par_2__LH_SomMot_2,0.0004905245725911775,41.0,11.0
4683,RH_Default_pCunPCC_1__LH_Vis_9,0.0004859131838749247,99.0,9.0
4682,RH_DorsAttn_Post_4__RH_Vis_4,0.0004826738465250101,70.0,54.0
4681,RH_Default_Temp_3__RH_SomMot_5,0.0004800095328940374,93.0,63.0
4680,RH_Default_Temp_3__LH_SalVentAttn_ParOper_1,0.00047750371316756005,93.0,24.0
4679,RH_SalVentAttn_TempOccPar_1__LH_Vis_8,0.00047457304558735957,74.0,8.0
4678,LH_Default_PFC_3__LH_SomMot_5,0.0004722078087451158,44.0,14.0
4677,RH_Cont_PFCl_3__RH_SomMot_8,0.00046801333877634805,85.0,66.0
4676,RH_DorsAttn_Post_2__LH_Default_PFC_1,0.00046670252309372685,68.0,42.0
4675,RH_Default_pCunPCC_2__LH_DorsAttn_Post_5,0.0004622581933552094,100.0,20.0
4674,RH_Default_PFCdPFCm_3__LH_Default_Temp_2,0.00046172881813177116,98.0,39.0
4673,RH_Cont_PFCl_3__RH_DorsAttn_FEF_1,0.00046051090971605864,85.0,73.0
4672,RH_Cont_PFCl_1__LH_DorsAttn_Post_2,0.0004584565470550457,83.0,17.0
4671,RH_Cont_PFCl_2__LH_Default_Par_2,0.000456673888668778,84.0,41.0
4670,LH_Default_pCunPCC_1__LH_Vis_9,0.0004561631358451219,49.0,9.0
4669,LH_SalVentAttn_Med_3__LH_Vis_1,0.00044980794543906117,30.0,1.0
4668,RH_Default_PFCv_2__RH_Cont_PFCmp_1,0.00044964928544883855,95.0,88.0
4667,RH_Default_Temp_1__RH_Vis_1,0.00044943359869103696,91.0,51.0
4666,RH_Cont_PFCmp_1__LH_SalVentAttn_ParOper_1,0.0004490910015279458,88.0,24.0
4665,RH_Cont_Cing_1__LH_SomMot_2,0.00044758182962315165,87.0,11.0
4664,RH_Cont_Cing_1__LH_DorsAttn_FEF_1,0.00044518104964744854,87.0,23.0
4663,RH_Limbic_TempPole_1__LH_Default_PFC_3,0.0004432289832375698,80.0,44.0
4662,RH_SomMot_2__LH_SomMot_3,0.00044309654848665835,60.0,12.0
4661,RH_Default_Par_1__LH_DorsAttn_Post_1,0.0004420376342811436,90.0,16.0
4660,LH_DorsAttn_FEF_1__LH_Vis_9,0.0004405418018254064,23.0,9.0
4659,RH_Default_Temp_1__RH_SomMot_6,0.0004402436933299515,91.0,64.0
4658,RH_SomMot_4__LH_DorsAttn_Post_6,0.00043955274897725365,62.0,21.0
4657,RH_Vis_7__LH_Limbic_TempPole_2,0.00043854437633683205,57.0,33.0
